ref_area,ref_area_label,classif1,classif1_label,time,obs_value_pay_gap,obs_status_label,obs_value_employees_women,obs_value_employees_men,obs_value_earnings_women,obs_value_earnings_men,obs_value_hours_women,obs_value_hours_men,earnings_ratio,hours_ratio,employment_ratio,delta_earnings,delta_hours
afg,afganistán,ocu_isco08_x,ocupación (ciuo-08): x. no clasificados en otra parte,2020,-18.479,ruptura de serie,1.392,10.136,0.833,1.68,29.45,50.89,0.7491007194244603,0.6117573743248857,0.09383215369059655,0.27900000000000014,18.69
afg,afganistán,ocu_skill_total,ocupación (nivel de competencia): total,2014,7.283,,180.003,2092.724,0.869,0.938,32.25,43.79,0.9264392324093818,0.7364695135875771,0.0860137313855052,0.06899999999999995,11.54
afg,afganistán,ocu_skill_l3-4,ocupación (nivel de competencia): niveles de competencia 3 y 4 ~ altos,2014,14.316,,69.254,282.828,1.349,1.575,30.14,36.5,0.8565079365079366,0.8257534246575342,0.2448626020054592,0.22599999999999998,6.359999999999999
afg,afganistán,ocu_skill_l2,ocupación (nivel de competencia): nivel de competencia 2 ~ medio,2014,49.139,,92.379,938.043,0.492,0.967,33.04,48.2,0.5087900723888314,0.6854771784232364,0.09848056005961348,0.475,15.160000000000004
afg,afganistán,ocu_skill_l1,ocupación (nivel de competencia): nivel de competencia 1 ~ bajo,2014,-48.008,,16.978,794.831,0.968,0.654,36.72,40.32,1.4801223241590213,0.9107142857142857,0.021360515631624836,-0.31399999999999995,3.6000000000000014
afg,afganistán,ocu_skill_x,ocupación (nivel de competencia): no clasificados en otra parte,2014,28.655,,1.392,77.022,0.833,1.168,29.45,52.76,0.7131849315068494,0.5581880212282032,0.018072758432655604,0.33499999999999996,23.31
afg,afganistán,ocu_isco08_total,ocupación (ciuo-08): total,2014,7.283,,180.003,2092.724,0.869,0.938,32.25,43.79,0.9264392324093818,0.7364695135875771,0.0860137313855052,0.06899999999999995,11.54
afg,afganistán,ocu_isco08_1,ocupación (ciuo-08): 1. directores y gerentes,2014,-19.519,,2.692,37.807,2.099,1.756,30.39,45.65,1.1953302961275627,0.6657174151150055,0.07120374533816488,-0.3430000000000002,15.259999999999998
afg,afganistán,ocu_isco08_2,ocupación (ciuo-08): 2. profesionales científicos e intelectuales,2014,15.544,,56.856,200.537,1.311,1.552,29.26,34.13,0.8447164948453607,0.8573102842074422,0.28351875215047595,0.2410000000000001,4.870000000000001
afg,afganistán,ocu_isco08_3,ocupación (ciuo-08): 3. técnicos y profesionales de nivel medio,2014,10.23,,9.706,44.484,1.366,1.522,35.25,39.39,0.897503285151117,0.8948971820258949,0.21819081017894074,0.15599999999999992,4.140000000000001
